Название,Рейтинг,Кол-во серий,Длительность (мин),Жанры,Дата релиза,Тип оригинала,Авторы,Описание,Ссылка
Новое хорошенькое лекарство,7.4,50,25,"приключения, махо-сёдзё, комедия",01.02.2009,оригинальная идея,Оки Канаэ,"Лав Момозоно, четырнадцатилетняя ученица школы Йоцуба, больше заботится о других, чем о себе. Однажды, на концерте известного танцевального коллектива «Троица», она тоже решает стать танцовщицей. Во время концерта слуги королевства Лабиринт нападают на артистов и зрителей с целью собрать их несчастья, а Лав получает силу легендарного воина для борьбы с ними. Вскоре к ней присоединяются её подруги, Мики и Инори.
текст добавлен
Evamerion
В ролях:
Оки Канаэ
,
Китамура Эри
,
Накагава Акико
,
Короги Сатоми
,
Мацуно Тайки
,
Маэда Кэн
,
Комацу Юка",http://www.world-art.ru/animation/animation.php?id=2830
Initial D Battle Stage 2,7.3,1,78,спорт,30.05.2007,манга,,описания ещё нет,http://www.world-art.ru/animation/animation.php?id=6560
Саюки: Новый взрыв,7.3,12,25,приключения,05.07.2017,манга,Сэки Тосихико,"Люди и оборотни, наука и магия мирно сосуществуют на земле порядка и хаоса под названием Страна Персикового источника. Но гармония была нарушена отрицательной энергией, из-за которой все оборотни впали в буйство, что привело к многочисленным бедствиям. Продолжая свое путешествие на запад, чтобы остановить эксперимент по воскрешению Быкоголового демона, явившийся причиной зловещей волны, четверка героев наконец прибывает к границам Тендзику. Но чем ближе они подбираются к источнику зла, тем сильнее влияние отрицательной энергии и яростнее ожидающие их битвы.
автор crunchyroll
=================
Уже известные нам герои Санзо, Гоку, Годзё и Хаккай, или, как их ещё называют, группа Гендзё Санзо, противостоят силам зла и направляются всё дальше на Запад. Опасности ждут их на каждом шагу, количество врагов только растёт, но они не даются. Их цель — остановить воскрешение Гю-ма-о, злейшего среди ёкаев (демонов). Они не считают себя командой, но никогда не бросят друг друга в беде. Опасное приключение продолжается!
текст добавлен
Contributor
В ролях:
Сэки Тосихико
(озв.
Кондзэн Додзи
),
Хоси Сойтиро
(озв.
Сон Гоку
),
Хирата Хироаки
(озв.
Генерал Кэнрэн
),
Исида Акира
(озв.
Маршал Тэмпо
),
Кусао Такэси
(озв.
Когайдзи
),
Яманой Дзин
(озв.
Докугакудзи
),
Сувабэ Дзюнъити
(озв.
Сайтасай
)... и еще
10 чел.",http://www.world-art.ru/animation/animation.php?id=9093
В случае с братом медицина бессильна! 5,7.4,12,4,"комедия, повседневность",29.07.2022,манга,,описания ещё нет,http://www.world-art.ru/animation/animation.php?id=11398
Отряд «Инфинити» (фильм),8.0,1,90,"приключения, фантастика",24.02.2018,оригинальная идея,,описания ещё нет,http://www.world-art.ru/animation/animation.php?id=9383
Кулинарные поединки Сомы OVA-2,7.3,2,25,комедия,27.11.2016,манга,,"Дополнительные эпизоды аниме «Повар-боец Сома: Второе блюдо», входящие в комплект с 18-м, 19-м, 24-м и 25-м томами манги. В них рассказывается про встречу Сомы и его друзей с «Элитной десяткой» школы Тооцуки.
текст добавлен
Evamerion",http://www.world-art.ru/animation/animation.php?id=10110
Anata o Zutto Aishiteru,8.0,1,90,приключения,06.06.2015,книга,,описания ещё нет,http://www.world-art.ru/animation/animation.php?id=8293
Ikuze! Gen-san,8.0,12,20,комедия,24.03.2008,видеоигра,Ямагути Каппэй,"описания ещё нет
В ролях:
Ямагути Каппэй
,
Ямамото Адзуса
,
Комура Тэцуо
,
Танияма Кисё
,
Курокава Нами",http://www.world-art.ru/animation/animation.php?id=7795
Wagamama Fairy Mirumo de Pon! Charming,8.0,22,25,"приключения, комедия, махо-сёдзё",19.04.2005,манга,Кодзакура Эцуко,"описания ещё нет
В ролях:
Кодзакура Эцуко
,
Накахара Май
,
Омимура Маюко
,
Намикава Дайсукэ
,
Юкидзи
,
Хитоми
,
Кугимия Риэ",http://www.world-art.ru/animation/animation.php?id=4887
Doraemon: Nobita no Wan Nyan Jikuuden,8.0,1,80,приключения,06.03.2004,манга,,описания ещё нет,http://www.world-art.ru/animation/animation.php?id=2554
Wagamama Fairy Mirumo de Pon! Wonderful,8.0,48,25,"приключения, комедия, махо-сёдзё",06.04.2004,манга,Кодзакура Эцуко,"описания ещё нет
В ролях:
Кодзакура Эцуко
,
Накахара Май
,
Омимура Маюко
,
Токумото Юкитоси
,
Юкидзи
,
Хитоми
,
Мидзута Васаби",http://www.world-art.ru/animation/animation.php?id=4886
Duel Masters Charge,8.0,52,25,"приключения, комедия",19.04.2004,,Кобаяси Юмико,"описания ещё нет
В ролях:
Кобаяси Юмико
,
Имай Юка
,
Тиба Саэко
,
Накадзима Саки",http://www.world-art.ru/animation/animation.php?id=6124
Kappamaki,8.0,130,3,"приключения, комедия",31.03.2003,,,описания ещё нет,http://www.world-art.ru/animation/animation.php?id=5120
Vampiyan Kids,8.0,26,25,"комедия, фэнтези",13.10.2001,оригинальная идея,Айкава Кинъя,"описания ещё нет
В ролях:
Айкава Кинъя
,
Цуру Хироми
,
Кояма Мами
,
Такэути Дзюнко
,
Кугимия Риэ
,
Такэмото Эйдзи
,
Ямадзаки Сигэнори",http://www.world-art.ru/animation/animation.php?id=3628
Doraemon: Nobita no Kekkon Zenya - The Night Before a Wedding,8.0,1,30,приключения,06.03.1999,манга,,описания ещё нет,http://www.world-art.ru/animation/animation.php?id=2546
YAT Anshin! Uchuu Ryokou 2,8.0,25,25,"приключения, комедия, фантастика",11.04.1998,оригинальная идея,,описания ещё нет,http://www.world-art.ru/animation/animation.php?id=5542
Shin Otokogi,8.0,2,40,приключения,16.05.1998,манга,Исикава Хидэо,"описания ещё нет
В ролях:
Исикава Хидэо
,
Оцука Акио
,
Дой Мика
,
Наката Кадзухиро",http://www.world-art.ru/animation/animation.php?id=7662
Goal FH,8.0,39,25,"драма, спорт",04.04.1994,манга,Сасаки Нодзому,"описания ещё нет
В ролях:
Сасаки Нодзому
,
Кояма Юка
,
Окиаю Рётаро
,
Исида Акира",http://www.world-art.ru/animation/animation.php?id=5151
Don: Gokudou Suikoden,8.0,2,50,"приключения, драма",01.07.1992,манга,,описания ещё нет,http://www.world-art.ru/animation/animation.php?id=6242
Tobe! Kujira no Peek,8.0,1,80,"приключения, драма",22.05.1991,книга,,описания ещё нет,http://www.world-art.ru/animation/animation.php?id=629
Mahou no Angel Sweet Mint,8.0,47,25,махо-сёдзё,02.05.1990,,,описания ещё нет,http://www.world-art.ru/animation/animation.php?id=4552
Кодзиро из клана Фума OVA-2,8.0,6,25,"приключения, фэнтези",21.09.1990,манга,Намба Кэйити,"описания ещё нет
В ролях:
Намба Кэйити",http://www.world-art.ru/animation/animation.php?id=4820
Miracle Giants Doumu-kun,8.0,49,25,спорт,02.04.1989,манга,,описания ещё нет,http://www.world-art.ru/animation/animation.php?id=4180
Девять (спэшл),8.0,1,70,"комедия, романтика, спорт",04.05.1983,манга,Исихара Марико,"описания ещё нет
В ролях:
Исихара Марико
,
Фуруя Тору
,
Томияма Кэй
,
Сиодзава Канэто
,
Сакамото Тика
,
Камия Акира
,
Китамура Коити",http://www.world-art.ru/animation/animation.php?id=933
Akuu Daisakusen Srungle,8.0,53,25,"приключения, фантастика, меха",21.01.1983,оригинальная идея,Фуруя Тору,"описания ещё нет
В ролях:
Фуруя Тору
,
Накао Рюсэй
,
Хирано Фуми
,
Нодзима Акио
,
Кобаяси Киёси
,
Коганэдзава Ацуко
,
Нисио Току",http://www.world-art.ru/animation/animation.php?id=4163
Fuku-chan,8.0,71,25,комедия,02.11.1982,,,описания ещё нет,http://www.world-art.ru/animation/animation.php?id=5355
Ikkyuu-san Wide-ban: Ooabare Yancha Hime,8.0,1,50,"приключения, комедия",25.08.1980,оригинальная идея,,описания ещё нет,http://www.world-art.ru/animation/animation.php?id=1172
Медвежонок Миша,8.0,26,25,"приключения, комедия",06.10.1979,оригинальная идея,Комия Кадзуэ,"описания ещё нет
В ролях:
Комия Кадзуэ
,
Цубой Акико
,
Ёкодзава Кэйко",http://www.world-art.ru/animation/animation.php?id=4829
Nobara no Julie,8.0,13,25,приключения,04.01.1979,оригинальная идея,,описания ещё нет,http://www.world-art.ru/animation/animation.php?id=5136
Чайная Рокуходо,7.3,12,25,повседневность,11.04.2018,манга,Сувабэ Дзюнъити,"Наша история разворачивается в чайной в японском стиле «Рокуходо», которая стала популярным заведением благодаря усилиям Суи, котороый управляет кафе и отвечает за вкуснейший чай, Гурэ, специалисту по кофейному арту, Цубаки, готовящему потрясающие сладости, и Токитаке, он отвечает за основную кухню. Они не только отличаются радушием, но порой даже помогают своим посетителям решать их проблемы. Милые истории, которые произошли в уютном кафе. Кто станет его следующим посетителем?
автор crunchyroll
=================
Четверо мужчин - Гуре, Суи, Токитака и Цубаки - каждый из них управляет японским чайным магазином под названием Рокуходо. Когда кто-то посещает магазин, они приветствуют тепло, подают чай и часто помогают с любыми проблемами, которые могут возникнуть у посетителя.
текст добавлен
thevideo1
В ролях:
Сувабэ Дзюнъити
(озв.
Суи
),
Накамура Юйти
(озв.
Токитака
),
Оно Дайсукэ
(озв.
Гурэ
),
Ямасита Дайки
(озв.
Цубаки
),
Маэно Томоаки
(озв.
Якё
),
Ториуми Косукэ
(озв.
Эйсукэ
),
Амасаки Кохэй
(озв.
Кинако
)",http://www.world-art.ru/animation/animation.php?id=9425
Суперпоросёнок,7.4,51,25,"комедия, романтика, махо-сёдзё",03.09.1994,манга,Сиратори Юри,"описания ещё нет
В ролях:
Сиратори Юри
,
Футидзаки Юрико
,
Исида Акира
,
Мацумото Рика
,
Ояма Такао
,
Сато Тиэ
,
Асами Дзюнко
... и еще
9 чел.",http://www.world-art.ru/animation/animation.php?id=163
Www.Работа!!,7.3,13,25,"комедия, повседневность",01.10.2016,манга,Накамура Юйти,"Мирная жизнь Дайсукэ Хигасиды, студента первого курса престижной школы, подготавливающей учеников к поступлению в университет, дает трещину, когда в один прекрасный день фирма его отца разоряется. Работать юноша не хочет, но и ежедневно проезжать 15 километров до школы на велосипеде, впрочем, тоже, а потому все же решает устроиться в семейный кафе-ресторан «Вагнария» на неполный рабочий день. И влиться серьезному Дайсукэ в трудовой коллектив, состоящий из чудаковатых сотрудников заведения, будет непросто.
текст добавлен
vvavrik
=================
Добро пожаловать в семейный ресторанчик ""Вагнария""! Каким бы фриком или слегка помешанным вы не были вам всё равно найдётся работа на ниве японского общепита, как и партнёр, с кем вам суждено разделить не менее странную (не в последнюю очередь благодаря шоколаду и Святому Валентину во плоти) любовь. Что же, будь вы хоть клерком или туристом, домохозяйкой или вообще призраком, мы рады будем вас обслужить!
текст добавлен
howLAV
В ролях:
Накамура Юйти
(озв.
Дайсукэ Хигасида
),
Томацу Харука
(озв.
Хана Миякоси
),
Амамия Сора
(озв.
Сихо Камакура
),
Оно Кэнсё
(озв.
Юта Синдо
),
Хикаса Ёко
(озв.
Саюри Мурануси
),
Утияма Коки
(озв.
Масахиро Адати
),
Мидзуки Нана
(озв.
Кисаки Кондо
)",http://www.world-art.ru/animation/animation.php?id=8755
Небесные девочки [ТВ],7.3,26,25,"приключения, фантастика, меха",06.07.2007,оригинальная идея,Кавасуми Аяко,"описания ещё нет
В ролях:
Кавасуми Аяко
,
Гото Саори
,
Ито Сидзука
,
Цудзи Аюми
,
Фудзивара Кэйдзи
,
Сираиси Рёко
,
Танияма Кисё
... и еще
15 чел.",http://www.world-art.ru/animation/animation.php?id=6513
Обитель мрачного мононокэ [ТВ-2],7.3,13,25,"комедия, повседневность, мистика",05.01.2019,манга,Кадзи Юки,"Асия Ханаэ обычный 15-летний школьник. Он никогда не верил в существование потустороннего мира. А рассказы о том, что существуют призраки, ёкаи и другая нечисть только смешили. Но однажды мальчику пришлось поверить в его существование. Когда Ханаэ шел в школу, он случайно наступил на плюшевую игрушку, которая со стороны казалась совсем обычной. Добрый Асия решает положить находку в пакет и повесить на столб. Если хозяин станет разыскивать пропажу, то легко найдет ее. Но внезапно эта милая игрушка запрыгнула ему на спину и укусила.
Мальчик не смог снять ее. Тогда то Асия и поверил, что ёкаи действительно существуют. С каждым днем Ханаэ становилось все хуже, но комок шерсти только разрастался не желая слезать. В итоге старшеклассник попал в больницу, перед самым началом учебного года. Он прекрасно понимает, что дальше ждать нельзя, пора принимать решительные меры. Иначе наступит смерть. Нашелся один человек готовый помочь в этой беде. Харуйцуки Абэно владелец чайной. Это странный, нелюдимый и угрюмый человек. Он занимается тем, что изгоняет прилипчивых демонов из мира людей. Но после сеанса парень уже не сможет вернуться к прежней жизни, все изменится.
текст добавлен
vikiy
В ролях:
Кадзи Юки
(озв.
Ханаэ Асия
),
Маэно Томоаки
(озв.
Харуицуки Абэно
),
Такагаки Аяхи
(озв.
Дзэнко Фудзивара
),
Отани Икуэ
(озв.
Яхико
),
Хикаса Ёко
(озв.
Кора
),
Хасимото Тинами
(озв.
Сидзуку
),
Сувабэ Дзюнъити
(озв.
Риппо
)",http://www.world-art.ru/animation/animation.php?id=9735
Цубаса и светлячки,7.3,1,15,"романтика, комедия",16.03.2014,манга,Ито Канаэ,"Цубасе Сонокаве
пятнадцать лет, она учится в десятом классе и не так давно встретила свою судьбу: потеряла сознание на станции, а незнакомый старшеклассник помог ей и отнес в медпункт. Цубаса не очень хорошо разглядела спасителя – голова кружилась, в глазах потемнело – но уверена, что это был
Сугияма
из одиннадцатого класса. Чтобы добиться взаимности, она каждую перемену бегает навестить Сугияму-куна, купила ему тридцать томов манги, которую тот похвалил, постоянно на него любуется, и... и быстро надоела ему своим вниманием. Что делать бедняжке-Цубасе? Ее суженый отвернулся от нее, первая любовь оказалась безответной... видно, пора искать спасения в бескорыстном труде и служении ближнему!
И Цубаса-тян отправляется в баскетбольный клуб на должность менеджера: заваривать спортсменам чай, доставать снаряжение и посильно помогать команде. Ее подруга
Юри
уверяет, что баскетболисты – ребята очень славные (и не такие зануды, как Сугияма-кун). Может, раненое сердце Цубасы исцелится в окружении обаятельных спортсменов?..
автор Анастасия Розанова (редакционный текст)
В ролях:
Ито Канаэ
(озв.
Цубаса Сонокава
),
Мацуока Ёсицугу
(озв.
Аки Хидака
),
Фукусима Дзюн
(озв.
Ёсинари Карасума
),
Сакурай Такахиро
(озв.
Юма Тоба
),
Сато Сатоми
(озв.
Юри Тёно
),
Хосоя Ёсимаса
(озв.
Сугияма
)",http://www.world-art.ru/animation/animation.php?id=2154
Из завтрашнего дня разноцветного мира,7.3,13,25,"повседневность, романтика, драма, мистика",06.10.2018,оригинальная идея,Исихара Каори,"Действие разворачивается в городе будущего Нагасаки. В повседневной жизни данного мира, существует небольшая доля магии. Семнадцатилетняя Хитоми Цукисиро, потомок рода магов, в юном возрасте потеряла цветовое восприятие, в результате чего её эмоциональное развитие сильно затормозилось. Однажды великая волшебница Кохаку, бабушка Хитоми, решает отослать девушку в прошлое, в 2018 год, где та знакомится с молодой Кохаку, своей ровесницей, и её друзьями по школьным клубам.
текст добавлен
Maxthon99
В ролях:
Исихара Каори
(озв.
Хитоми Цукисиро
),
Хондо Каэдэ
(озв.
Кохаку Цукисиро
),
Тиба Сёя
(озв.
Юйто Аой
),
Маэда Сэйдзи
(озв.
Сё Ямабуки
),
Тояма Нао
(озв.
Куруми Кавай
),
Итиносэ Кана
(озв.
Асаги Кадзано
),
Мурасэ Аюму
(озв.
Тигуса Фукадзава
)",http://www.world-art.ru/animation/animation.php?id=9653
Августовская симфония,7.4,1,115,"повседневность, драма, музыкальный",22.08.2009,книга,Фукуэн Мисато,"описания ещё нет
В ролях:
Фукуэн Мисато
(озв.
Ай
),
Такахаси Кэйко
(озв.
Мать Ай
),
Такахаси Кадзуя
(озв.
Президент Акиба
),
Ямамото Гаку
(озв.
Старец
),
Такаги Ватару
(озв.
Такэси Исида
),
Ёсино Хироюки
(озв.
Сёдзи Сэо
),
Мидзусима Такахиро
(озв.
Фумито Накай
)",http://www.world-art.ru/animation/animation.php?id=7312
Домекано,7.3,12,25,романтика,12.01.2019,манга,Хикаса Ёко,"Старшеклассник Нацуо Фудзии безответно влюблен в свою учительницу Хину. Чувства гложут его, и в надежде хоть немного развеяться он идёт с друзьями на групповое свидание. Там Нацуо знакомят с молчаливой девушкой Руи, и их встреча заканчивается сексом. После они расходятся, намереваясь больше никогда не встретиться вновь… Однако судьба рассудила иначе: отец Нацуо приводит в дом будущую супругу, у которой две прекрасные дочери — это Хина и Руи.
автор crunchyroll
=================
Нацуо Фуджи влюблён в свою учительницу, Хину Тачибану. Намереваясь избавиться от своих чувств, он отправляется на групповое свидание, где встречает странную девушку по имени Руи. Попросив об одолжении, Руи уводит юношу к себе домой, где предлагает заняться с ней сексом. Никакой любви, ей всего лишь хочется приобрести опыт. Посчитав это хорошей возможностью забыть о Хине, Нацуо соглашается.
После этой неожиданной встречи Нацуо сталкивается с новой проблемой. Из-за женитьбы отца юноша обзаводится двумя сводными сёстрами, к несчастью, хорошо ему знакомыми. Это Хина и Руи!
Отныне Нацуо, живя с учительницей, в которую влюблён, и девушкой, с которой был его «первый раз», попадет в неожиданный любовный треугольник, всё ближе подбираясь ко взрослой жизни.
текст добавлен
Stelechka
=================
Нацуо, ученик старшей школы, влюблен в свою учительницу английского Хину Татибану. Однажды его отец объявляет, что решил жениться вновь и у новой мачехи есть две дочери. Одной из дочерей оказывается Хина, а другой — Руи, девушка, с которой Нацуо случайно познакомился во время группового свидания и потерял девственность. И после замужества родителей они все начинают жить вместе под одной крышей.
текст добавлен
Maxthon99
В ролях:
Хикаса Ёко
(озв.
Хина Татибана
),
Утида Маая
(озв.
Руи Татибана
),
Ясиро Таку
(озв.
Нацуо Фудзии
),
Эгути Такуя
(озв.
Фумия Куримото
),
Ёсимура Харука
(озв.
Момо Касивабара
),
Кохара Кономи
(озв.
Миу Асихара
),
Масуяма Такэаки
(озв.
Юя Масаока
)",http://www.world-art.ru/animation/animation.php?id=9764
Eiga Heartcatch Precure! Hana no Miyako de Fashion Show... Desuka!?,7.4,1,70,"приключения, махо-сёдзё",30.10.2010,оригинальная идея,Мидзуки Нана,"Сакура Куруми, мать Эрики, готовится к показу мод в Париже. Члены школьного клуба мод участвуют в качестве моделей, и в том числе ученицы старшей школы. Находясь в Париже, они встречают таинственного мальчика по имени Оливье. Вскоре появляется Барон Саламандр Пустыни Апостолов, и девушки вынуждены превращаться и защищать Париж.
текст добавлен
Evamerion
В ролях:
Мидзуки Нана
,
Мидзусава Фумиэ
,
Кувасима Хоко
,
Хисакава Ая
,
Кавата Таэко
,
Кумай Мотоко
,
Кикути Кокоро",http://www.world-art.ru/animation/animation.php?id=2399
Рыцари Рамунэ OVA-3,7.4,6,30,"приключения, комедия, меха, этти",21.05.1997,оригинальная идея,Хиками Кёко,"описания ещё нет
В ролях:
Хиками Кёко
,
Короги Сатоми
,
Миямура Юко
,
Ядзима Акико
,
Имай Юка
,
Канай Мика
,
Каваками Томоко",http://www.world-art.ru/animation/animation.php?id=3300
Wedding Peach DX,7.4,4,25,"комедия, махо-сёдзё, романтика",24.12.1996,манга,Хиками Кёко,"описания ещё нет
В ролях:
Хиками Кёко
,
Миямура Юко
,
Ногами Юкана
,
Уэда Юдзи
,
Мики Синъитиро
,
Яо Кадзуки
,
Дой Мика",http://www.world-art.ru/animation/animation.php?id=2972
I'll/CKBC,7.3,2,30,"приключения, спорт",18.12.2002,манга,Канэко Нобору,"описания ещё нет
В ролях:
Канэко Нобору
,
Камия Хироси
,
Мики Синъитиро
,
Ёсимидзу Такахиро
,
Сайга Мицуки
,
Юдзуки Рёка
,
Хисакава Ая",http://www.world-art.ru/animation/animation.php?id=3845
Саки: История Атиги,7.3,12,25,комедия,09.04.2012,манга,Юки Аой,"Веселая и энергичная
Сидзуно Такакамо
вместе с такой же подружкой
Ако Атараси
в начальной школе познакомились с недавно приехавшей в их городок «столичной штучкой»
Нодокой Харамурой
. Когда выяснилось, что все трое любят маджонг, девчонки подружились и стали ходить в клуб маджонга местной женской академии Атига. Вместе с на год старшей
Куро Мацуми
и тренером
Харуэ Акадо
они составили тесную компанию, которая душа в душу жила полтора года. Увы, все кончается. Харуэ ушла в профи, Нодока снова переехала, а клуб закрылся. Остальные члены команды тоже отложили кости до лучших времен.
И они пришли! Через полтора года Сидзуно случайно увидела, как Нодока становится чемпионкой Японии, и ей отчаянно захотелось снова сыграть со старой подругой. Но как? Она живет в Наре, а Харамура – в Нагано. Впрочем, выход есть – нужно возродить клуб Атиги, потренироваться, усилить команду и встретиться на первенстве страны! Да, впереди старшая школа, но терпение и труд все перетрут. Остается выиграть префектуру, а там можно уже посмотреть, как поживают национальные монстры маджонга и что за
Саки Миянага
такая путается, по слухам, с их дорогой Нодокой?!
автор Hollow (редакционный текст)
В ролях:
Юки Аой
(озв.
Сидзуно Такакамо
),
Тояма Нао
(озв.
Ако Атараси
),
Ханадзава Кана
(озв.
Куро Мацуми
),
Мако
(озв.
Ю Мацуми
),
Утияма Юми
(озв.
Арата Сагимори
),
Огура Юй
(озв.
Токи Ондзёдзи
),
Исихара Каори
(озв.
Рюка Симидзудани
)",http://www.world-art.ru/animation/animation.php?id=1294
Капризы Апельсиновой улицы OVA-7,7.3,1,25,"романтика, комедия, повседневность",18.01.1991,манга,Фуруя Тору,"описания ещё нет
В ролях:
Фуруя Тору
,
Цуру Хироми
,
Хара Эрико
,
Хонда Тиэко
,
Томидзава Митиэ
,
Орикаса Ай
,
Короги Сатоми",http://www.world-art.ru/animation/animation.php?id=294
Тэнти - лишний! (фильм третий),7.3,1,95,"приключения, комедия",24.04.1999,оригинальная идея,Кикути Масами,"Устав от перебранок Рёко с Аэкой, Тенти убегает в храм Мисаки, дабы хоть немного насладиться покоем. Но после таинственной встречи в лесу неподалёку от храма пропадает в неизвестном направлении. Рёко и Аэка сразу же бросаются на поиски. И вот, спустя шесть месяцев безуспешных поисков они всё-таки наконец находят Тенти. Всё это время он находился в ином мире с незнакомой женщиной. Вся беда в том, что герои не имеют ни малейшего представления, ни как попасть в тот мир, ни кто эта таинственная незнакомка, похитившая их ненаглядного. Да ещё и сам Тенти, как назло, потерял память и ничего не помнит о своём прошлом. В конце концов героям удаётся найти путь в мир, где пребывает Тенти. Но получится ли у них спасти его и вернуть ему память?
текст добавлен
Evamerion
В ролях:
Кикути Масами
,
Орикаса Ай
,
Такада Юми
,
Иноэ Кикуко
,
Мидзутани Юко
,
Ёкояма Тиса
,
Кодзакура Эцуко",http://www.world-art.ru/animation/animation.php?id=91
Радужные капли,7.3,12,25,"махо-сёдзё, романтика",03.07.2007,видеоигра,Юимото Митиру,"У Цувабуки-куна проблемы с социализацией... проще говоря, ему трудно общаться со сверстниками. Как знать, как долго бы это продолжалось, если б в его тихую, малосоциальную жизнь не вторглась простодушная девочка с лейкой – сперва облила, потом попросила прощения, потом невольно втянула в работу кружка садоводов…
А потом Цувабуки-кун нечаянно выпил волшебного сока, который обронил пришелец из другого мира, и превратился в маленькую игрушечную овечку! И социализоваться пришлось уже по полной программе: по вечерам становиться игрушкой той самой растяпы с лейкой, Сумомо-тян, и уговаривать ее искать радужные капли, которые смогут расколдовать стеснительного Цувабуки.
автор Анастасия Розанова (редакционный текст)
В ролях:
Юимото Митиру
,
Нодзима Хирофуми
,
Гото Май
,
Симидзу Каори
,
Мацуока Юки
,
Танияма Кисё
,
Такахаси Хироки",http://www.world-art.ru/animation/animation.php?id=4584
"Лилия, лягушка и младший брат",7.4,1,30,"приключения, комедия, фэнтези",20.08.2006,оригинальная идея,Нисимура Тинами,"описания ещё нет
В ролях:
Нисимура Тинами
,
Танияма Кисё
,
Тацута Наоки",http://www.world-art.ru/animation/animation.php?id=5957
Адский учитель Нубэ (фильм первый),7.4,1,50,"приключения, комедия, мистика",06.07.1996,манга,Окиаю Рётаро,"Однажды гуляя в парке, Кумико, ученица из класса Нубэ, встретила одного человека, а позже, нарисовав его лицо по памяти, увидела фотографию этого же человека на доске разыскиваемых преступников. Девочка испугалась и по совету своей одноклассницы Кёко, отнесла рисунок в полицию.
Спустя некоторое время этот преступник попал в аварию и оказался в руках полиции. После аварии он впустил в своё тело демона для того, чтобы тот помог ему найти и убить девочку с инициалами «К.И.» и красной лентой в волосах, ведь именно она виновата в том, что его обнаружили.
текст добавлен
Evamerion
В ролях:
Окиаю Рётаро
,
Огата Мэгуми
,
Касахара Руми",http://www.world-art.ru/animation/animation.php?id=4445
Армитаж: Двойная матрица,7.3,1,90,"приключения, фантастика, меха",25.06.2002,оригинальная идея,Юдзуки Рёка,"Наоми Армитаж и Росс Силибус укрылись под вымышленными фамилиями на Марсе и тихо растят дочку Йоко. Однако спокойной семейной жизни приходит конец, когда в одном из земных предприятий по производству антиматерии происходит бунт роботов. Армитаж узнает, что восстание — лишь повод для сокрытия информации о разработке новых роботов «третьего типа». Наоми отправляется на Землю, чтобы вычислить организаторов мрачной затеи, и встречает на своем пути самого сильного противника из всех, что ей когда-либо попадались, — собственные копии.
В ролях:
Юдзуки Рёка
,
Имай Юка
,
Ямадзи Кадзухиро
,
Ханада Хикару
,
Наката Дзёдзи
,
Сайга Мицуки
,
Ямадзаки Такуми",http://www.world-art.ru/animation/animation.php?id=179
В далёкие времена [ТВ],7.3,26,25,"приключения, романтика, фэнтези",06.10.2004,видеоигра,Каваками Томоко,"Древний город охраняют божественные животные – Дракон с востока, Тигр с запада, Черепаха с севера и Феникс с юга. Пока их сила не иссякла, столица в безопасности, но, если город лишится своих магических стражей, только вмешательство новой жрицы нового могущественного бога сможет спасти людей и страну… И этой жрицей суждено стать скромной японской старшекласснице Аканэ.
автор Анастасия Розанова (редакционный текст)
В ролях:
Каваками Томоко
,
Мики Синъитиро
,
Сэки Томокадзу
,
Такахаси Наодзуми
,
Мията Коки
,
Накахара Сигэру
,
Иноэ Кадзухико
... и еще
16 чел.",http://www.world-art.ru/animation/animation.php?id=2698
Ган Фронтир,7.3,13,25,"приключения, драма",28.03.2002,манга,Ямагути Каппэй,"Дикий Запад — место, где человек может почувствовать себя по-настоящему живым. Суровая и беспощадная пустошь, где слабому не дано право мечтать. Священная земля для настоящих мужчин. Морской пират Харлок и странствующий самурай Тотиро, вместе с таинственной женщиной Синунорой, путешествуют по западной границе США в поисках потерянного клана японских самураев, эмигрировавших когда-то в Америку. Друзья бросают вызов местным бандитам, продажным шерифам и любому, кто встанет у них на пути. Они не остановятся ни перед чем, пока не достигнут цели.
текст добавлен
Evamerion
В ролях:
Ямагути Каппэй
,
Такэмото Эйдзи
,
Мацумото Рика
,
Ёкояма Тиса
,
Янака Хироси
,
Года Ходзуми
,
Ито Кэнтаро
... и еще
9 чел.",http://www.world-art.ru/animation/animation.php?id=3014
Едок 98,7.3,12,25,"приключения, фантастика",08.10.1998,манга,Эбара Масаси,"описания ещё нет
В ролях:
Эбара Масаси
,
Тамагава Сакико
,
Нагата Рёко
,
Футамата Иссэй
,
Накадзима Тосихико
,
Кувахара Тосиаки
,
Исимура Томоко
... и еще
20 чел.",http://www.world-art.ru/animation/animation.php?id=3058
Молчаливая Морита [ТВ-2],7.3,13,3,"комедия, повседневность",05.10.2011,манга,,описания ещё нет,http://www.world-art.ru/animation/animation.php?id=1994
Пуни Пуни Поэми,7.3,2,30,"комедия, махо-сёдзё, этти",07.03.2001,оригинальная идея,Кобаяси Юмико,"Безумная история о гиперактивной десятилетней девочке по имени Ватанабе Поэми, мечтающей стать сейю. Однако ей постоянно в этом мешают разные пришельцы из космоса. То дом её разрушат, то на город нападут. Даже одноклассник Кей-кун, в которого она влюблена оказывается не так прост.
Но героиня не падает духом. Перевоплощаясь в защитницу Земли - магическую героиню Пуни Пуни Поэми, она борется со всем, что считает злом. Помогают ей в этом принявшие её сёстры Аясу.
текст добавлен
AleksZ_T
В ролях:
Кобаяси Юмико
,
Имай Юка
,
Эномото Ацуко
,
Мицуиси Котоно
,
Минами Оми
,
Каваками Томоко
,
Короги Сатоми",http://www.world-art.ru/animation/animation.php?id=78
